iter	RMSE
0	2929.166494
1	2843.743908
2	2758.25819
3	2682.535503
4	2615.21517
5	2547.719724
6	2479.699375
7	2420.70505
8	2357.606509
9	2300.900422
10	2243.356528
11	2189.548526
12	2133.875563
13	2084.714706
14	2037.974922
15	1992.874014
16	1953.538065
17	1910.276274
18	1866.798851
19	1832.014254
20	1796.298654
21	1760.68871
22	1733.016056
23	1701.944561
24	1671.347093
25	1643.236138
26	1618.696835
27	1599.575081
28	1571.223238
29	1548.242342
30	1523.782429
31	1503.697491
32	1483.699196
33	1467.384899
34	1449.699067
35	1432.332405
36	1417.985277
37	1401.583398
38	1388.14142
39	1371.899839
40	1356.345116
41	1341.564703
42	1330.567497
43	1318.979022
44	1305.914165
45	1294.28587
46	1281.772932
47	1269.587458
48	1260.827413
49	1252.845663
50	1242.600616
51	1234.277779
52	1224.716073
53	1216.59075
54	1207.287006
55	1199.877104
56	1191.431831
57	1184.633251
58	1178.732436
59	1172.660424
60	1166.293128
61	1160.747608
62	1154.535765
63	1148.07554
64	1143.835888
65	1137.89324
66	1132.703054
67	1128.40696
68	1123.687066
69	1117.215457
70	1113.441435
71	1110.277442
72	1104.640324
73	1101.199621
74	1096.653178
75	1092.551841
76	1086.793272
77	1082.145887
78	1077.521664
79	1072.839784
80	1069.652094
81	1063.574893
82	1061.36493
83	1056.913379
84	1053.760087
85	1050.967068
86	1047.462351
87	1042.744566
88	1040.936101
89	1036.290175
90	1033.046563
91	1030.847557
92	1028.571233
93	1025.536742
94	1023.700238
95	1020.786848
96	1017.26312
97	1014.843641
98	1013.760512
99	1010.446158
100	1007.664205
101	1004.635424
102	1002.750976
103	997.4734557
104	993.9830703
105	990.9469645
106	987.7267136
107	986.8733084
108	984.6726127
109	982.8600647
110	982.4878042
111	980.028463
112	977.5288756
113	975.8777608
114	974.1516785
115	972.3281732
116	969.1251796
117	967.1625545
118	965.1036293
119	962.6822699
120	960.7282398
121	959.0617808
122	956.6242963
123	954.5451774
124	952.2982775
125	950.1814013
126	947.3027052
127	944.4986091
128	943.4361981
129	942.3924969
130	940.5700391
131	939.1316544
132	938.0741551
133	936.1897508
134	933.7219327
135	931.5529627
136	930.2011351
137	929.0173619
138	927.6530336
139	927.1324699
140	926.0114651
141	923.3400532
142	921.6699959
143	919.8783355
144	918.2509837
145	916.2217034
146	913.8103479
147	911.6115247
148	911.0343951
149	908.6877226
150	907.858122
151	906.1477358
152	903.6716814
153	902.7326175
154	902.0202125
155	898.9435038
156	897.5487048
157	896.739928
158	895.9188972
159	893.8736176
160	892.4062977
161	891.4072802
162	889.8511731
163	888.0937482
164	887.4515735
165	886.3974682
166	885.6525658
167	884.8508185
168	884.1058002
169	883.2103667
170	882.0804762
171	880.5313049
172	878.8479597
173	878.1877207
174	877.1889791
175	874.9656766
176	874.1269077
177	872.5963616
178	870.4404287
179	869.3731817
180	868.7890636
181	867.6273747
182	866.8563755
183	866.4307216
184	864.5200869
185	863.8742767
186	861.4884823
187	860.7520865
188	858.1282072
189	856.2607059
190	854.2999942
191	853.1931483
192	851.9612541
193	851.438324
194	849.2827239
195	847.4705681
196	846.1151033
197	845.6338028
198	844.6970284
199	843.1716084
200	842.3127299
201	840.8327209
202	838.5521661
203	838.1240714
204	836.7702666
205	836.2956928
206	835.1809984
207	833.6041244
208	832.6508515
209	831.4090918
210	830.2904777
211	829.6262254
212	828.492727
213	827.168193
214	825.473883
215	824.7997109
216	824.0789713
217	823.8257499
218	822.3807396
219	821.1004842
220	819.8875156
221	819.7324904
222	817.8302099
223	816.3152539
224	814.9103653
225	813.6838689
226	812.6976896
227	811.8769181
228	810.1948479
229	808.702558
230	807.9193427
231	806.2261701
232	805.122276
233	804.0329467
234	803.3096247
235	802.6692567
236	802.0288288
237	800.0326692
238	799.2925636
239	797.2402993
240	796.1631457
241	795.317391
242	794.1551277
243	793.4907522
244	792.493114
245	791.7048127
246	791.2327991
247	789.6329843
248	788.8633082
249	787.8064782
250	786.7652729
251	786.1840182
252	785.7725018
253	785.6417373
254	785.3344176
255	784.4587104
256	783.852836
257	783.068899
258	782.4754976
259	781.2645773
260	779.8561599
261	779.6529801
262	778.6347056
263	777.2050488
264	775.87134
265	774.2803286
266	773.3451247
267	772.2839083
268	771.4868829
269	770.9350761
270	770.5910564
271	770.0968411
272	769.0499043
273	767.7247657
274	767.4915567
275	766.6319554
276	765.7888418
277	764.9399378
278	763.9988485
279	763.4007051
280	762.6046693
281	762.2951784
282	761.8205733
283	760.7101292
284	760.1805973
285	758.9934911
286	758.1847195
287	757.4133848
288	756.8161678
289	755.4563407
290	753.9090128
291	752.9315977
292	751.3133589
293	750.3471789
294	749.3473607
295	747.9692626
296	746.9156601
297	746.2283525
298	745.1749196
299	744.2364488
300	743.4002127
301	742.2370046
302	741.5286213
303	740.4125753
304	740.0757599
305	739.8000081
306	738.9233948
307	738.2038798
308	737.5989782
309	736.6734983
310	735.9254234
311	735.2472995
312	734.5596345
313	733.892965
314	732.823185
315	731.8994431
316	731.0635063
317	730.6349404
318	729.6906148
319	729.0414191
320	728.5356385
321	727.9452246
322	726.7384887
323	725.9943909
324	725.3778435
325	724.9883453
326	724.0872774
327	723.6796191
328	723.028611
329	722.4265623
330	721.9561896
331	720.9413413
332	720.1336149
333	719.241062
334	717.7828588
335	716.802052
336	716.2804586
337	715.4515388
338	714.664956
339	714.1380569
340	713.0308783
341	712.1103393
342	711.0815002
343	710.2274179
344	709.59764
345	708.7942098
346	708.0034155
347	707.5950622
348	707.3389966
349	706.5169383
350	705.8896369
351	704.7175906
352	703.8889006
353	702.709023
354	701.6690428
355	701.2041977
356	700.4012339
357	699.5532242
358	698.7993459
359	698.1610344
360	697.7562449
361	697.3532506
362	696.6274473
363	695.5774851
364	694.7060916
365	694.3077725
366	693.5686685
367	693.1331972
368	692.8974967
369	692.0452284
370	691.3897553
371	690.7665221
372	690.2119151
373	689.4638925
374	688.615102
375	688.426095
376	686.7501699
377	686.4708607
378	685.7707326
379	685.0967026
380	684.7417961
381	683.7174926
382	683.135759
383	682.5523779
384	681.8911617
385	681.6555079
386	681.1179497
387	680.4848462
388	680.0336481
389	679.7269198
390	679.1701592
391	677.9037701
392	677.1064905
393	676.2905474
394	675.7373835
395	675.4669332
396	674.8588023
397	673.642757
398	673.2698222
399	672.9128311
400	671.9777002
401	671.2826474
402	670.230551
403	669.8597769
404	669.4685155
405	669.2896566
406	668.7863775
407	667.5598675
408	666.8875733
409	665.7459967
410	664.6797485
411	664.1312205
412	663.693532
413	663.5820917
414	662.9746678
415	662.4296534
416	661.5906178
417	661.0519408
418	660.7390208
419	659.9215454
420	659.2428902
421	658.7386895
422	658.3550906
423	657.4695904
424	656.9337295
425	656.3159264
426	655.9318952
427	655.5667225
428	655.0602738
429	654.6780729
430	654.2991234
431	653.9587264
432	653.5793814
433	653.2705042
434	652.6031062
435	652.1815925
436	651.8180091
437	651.4469271
438	650.5023911
439	650.2082295
440	649.244425
441	648.7356231
442	648.1669102
443	647.6646072
444	646.9827361
445	646.5570098
446	645.9009094
447	645.6092341
448	645.3422961
449	645.117574
450	644.637378
451	644.0326805
452	643.5369364
453	643.2233883
454	642.5029124
455	642.1324168
456	641.5150133
457	641.0502328
458	640.3525223
459	640.2694304
460	639.8875643
461	639.7411408
462	639.3247483
463	638.9278092
464	638.7897145
465	638.6890554
466	638.0826618
467	637.7379798
468	637.0955971
469	636.5249291
470	636.1830874
471	635.8554264
472	635.3284157
473	635.0075436
474	634.3481313
475	633.9439398
476	633.5001073
477	632.768754
478	632.6068496
479	631.9247163
480	631.5333012
481	631.1525673
482	630.8550551
483	630.5597386
484	629.6218622
485	629.1685854
486	628.843203
487	628.6702322
488	627.8300486
489	627.416625
490	627.0984537
491	626.6613782
492	626.3579415
493	625.8271705
494	624.9374445
495	624.4546211
496	624.0736683
497	623.7777109
498	623.411335
499	623.209062
500	622.8985254
501	622.6474333
502	622.4456065
503	622.1405141
504	621.6020574
505	620.8433155
506	620.4769625
507	619.8217439
508	619.0996241
509	618.475822
510	618.0080559
511	617.7627204
512	617.5089871
513	616.9134328
514	616.2913213
515	616.019618
516	615.1077516
517	614.8234136
518	614.1144981
519	613.8592889
520	613.6159385
521	613.3011399
522	612.6905941
523	612.4702485
524	611.8790342
525	611.2934068
526	611.0520267
527	610.8125276
528	610.3421497
529	610.0664285
530	609.6135952
531	608.8231591
532	608.6079735
533	608.1569714
534	607.8851516
535	607.7514647
536	607.2226732
537	606.8977853
538	606.6341155
539	606.3556329
540	606.182206
541	605.9042086
542	604.9209853
543	604.3526734
544	604.0531346
545	603.9388347
546	603.829574
547	603.5359851
548	603.4679349
549	602.8251789
550	602.3037049
551	601.7418314
552	601.2809408
553	600.8770652
554	600.4534641
555	600.257893
556	599.323015
557	598.440683
558	597.9611624
559	597.5101721
560	596.9089585
561	596.6209615
562	596.2344794
563	595.5705598
564	595.152175
565	594.9175896
566	594.5065825
567	594.0971717
568	593.9342018
569	593.4826671
570	593.1208725
571	592.9660911
572	592.438478
573	591.9061181
574	591.6905728
575	591.2141299
576	590.9824233
577	590.8915956
578	590.606902
579	590.2852068
580	590.0228936
581	589.8748164
582	589.5095464
583	588.7912171
584	588.4007212
585	587.997202
586	587.6498728
587	587.0881411
588	586.9480211
589	586.6012345
590	586.2291105
591	585.9982372
592	585.6476537
593	584.9212996
594	584.6572718
595	584.1583249
596	583.6812467
597	583.1586957
598	582.7067659
599	582.3646219
600	582.0149759
601	581.3430783
602	580.8840061
603	580.1239163
604	579.9034124
605	579.4718631
606	578.7388457
607	578.5566893
608	578.3737422
609	577.8719572
610	577.3623641
611	576.7900351
612	576.6013174
613	576.1500759
614	575.8849116
615	575.566341
616	575.0977504
617	574.7768162
618	574.5148284
619	573.8013909
620	573.3698691
621	573.025799
622	572.7257149
623	572.3294675
624	572.204746
625	571.8563698
626	571.3692603
627	571.1134811
628	570.7272729
629	570.3441682
630	570.1146119
631	569.8780578
632	569.5022827
633	569.2970759
634	568.9817655
635	568.5796882
636	568.2507443
637	568.0488393
638	567.8611613
639	567.4800888
640	566.9850134
641	566.8243711
642	566.5635088
643	566.402579
644	566.0148933
645	565.770921
646	565.5453105
647	565.4635799
648	565.1170778
649	564.5501995
650	564.1615747
651	563.8193705
652	563.4635303
653	563.2863169
654	562.8133033
655	562.4605389
656	562.3119656
657	562.0003277
658	561.3117445
659	560.8603035
660	560.5283305
661	560.191605
662	559.9750339
663	559.526858
664	558.4542453
665	558.2196894
666	557.6919435
667	557.3506096
668	556.9940899
669	556.8303652
670	556.3996075
671	555.8103443
672	555.5081335
673	554.8581004
674	554.4006554
675	553.7669811
676	553.5333759
677	553.1941338
678	553.0687141
679	552.9999461
680	552.838911
681	552.4467013
682	552.2739671
683	551.7856338
684	551.4657438
685	551.2693691
686	551.1358781
687	550.6404107
688	550.515836
689	550.2865692
690	550.1777798
691	550.00022
692	549.4582227
693	549.3257397
694	548.8759043
695	548.5594337
696	548.4351716
697	547.9035485
698	547.7183462
699	547.4666873
700	547.010828
701	546.5322232
702	546.4425341
703	546.0517961
704	545.9210521
705	545.6156708
706	545.3054989
707	545.1587717
708	544.8010765
709	544.434838
710	544.1108773
711	543.6866895
712	543.5480021
713	543.0985846
714	542.8089748
715	542.4950884
716	542.0976866
717	541.5915558
718	540.5957204
719	540.2154523
720	539.9270568
721	539.6975899
722	539.5058469
723	538.9844355
724	538.8089002
725	538.439387
726	538.0430305
727	537.6788838
728	537.3892633
729	537.0434477
730	536.671166
731	536.1637572
732	535.9360181
733	535.8632732
734	535.3083328
735	534.9478983
736	534.5975151
737	534.3463846
738	534.1546536
739	533.8276788
740	533.7165849
741	533.449681
742	533.1471014
743	533.032669
744	532.7113342
745	532.3774473
746	532.0455693
747	531.6125906
748	531.4464691
749	531.1296296
750	531.0128214
751	530.7231566
752	530.3990936
753	530.2030372
754	529.9265976
755	529.5342642
756	528.714904
757	528.4479662
758	528.1204882
759	527.9548875
760	527.5726439
761	527.2941293
762	526.9291814
763	526.5050058
764	526.1535212
765	525.3859132
766	525.2293126
767	525.043711
768	524.6151568
769	524.4038264
770	524.282817
771	523.9091329
772	523.4193487
773	523.2146069
774	522.9288169
775	522.7812773
776	522.7244074
777	522.5032784
778	522.2089895
779	521.4038282
780	521.0872583
781	520.8980826
782	520.7471714
783	520.5950823
784	520.1994019
785	519.9854048
786	519.7116846
787	519.4431661
788	519.2214641
789	519.1233141
790	518.8686547
791	518.5105433
792	518.2746494
793	518.167937
794	517.8631955
795	517.5269219
796	517.1786032
797	516.9438917
798	516.8367745
799	516.4021213
800	516.2288226
801	515.9450949
802	515.8919609
803	515.7788106
804	515.4577143
805	514.9013942
806	514.3726549
807	514.3198313
808	513.8567785
809	513.6059458
810	513.4520031
811	513.3426053
812	513.0166731
813	512.629658
814	512.3843496
815	512.2960202
816	512.04516
817	511.7614801
818	511.477132
819	511.2047661
820	510.7738445
821	510.5451383
822	509.5946267
823	509.3454477
824	508.9230312
825	508.5478719
826	508.2634466
827	508.0635531
828	507.9430215
829	507.6339504
830	507.4667888
831	507.3608306
832	507.0867329
833	506.9967556
834	506.6175418
835	506.5181768
836	506.2782627
837	505.8408805
838	505.5849935
839	505.4982781
840	505.2658069
841	505.0921955
842	504.9473448
843	504.8276569
844	504.7569127
845	504.4287661
846	504.3099729
847	503.9964317
848	503.7740566
849	503.5475817
850	503.4329472
851	503.1091958
852	502.9122865
853	502.7172931
854	502.6941466
855	502.5062683
856	502.1483629
857	501.860973
858	501.6098126
859	501.2284253
860	500.9089412
861	500.8094666
862	500.7030681
863	500.0434875
864	499.621043
865	499.4310102
866	499.330357
867	498.9429297
868	498.449454
869	498.1777539
870	498.0811151
871	497.8875286
872	497.7116061
873	497.4191924
874	496.9115869
875	496.6650555
876	496.2309237
877	495.8646847
878	495.5931034
879	495.5275038
880	495.343689
881	495.2544764
882	495.1010005
883	494.9470456
884	494.7655888
885	494.5975949
886	494.4549803
887	494.2174535
888	494.0755525
889	493.9291843
890	493.8017259
891	493.6328076
892	493.4527046
893	493.2898352
894	493.182831
895	492.9541573
896	492.8225222
897	492.5942047
898	492.4722882
899	492.428218
900	492.1707128
901	491.8612038
902	491.4271562
903	491.2269299
904	490.9583854
905	490.7219283
906	490.5873
907	490.4464909
908	489.875785
909	489.6818079
910	489.4330683
911	489.4110947
912	489.3286481
913	489.103394
914	488.974613
915	488.6557494
916	488.5860378
917	488.3519342
918	488.0276254
919	487.8860072
920	487.7204212
921	487.5519432
922	487.3637004
923	486.9288161
924	486.8191234
925	486.6247782
926	486.4302629
927	485.9748932
928	485.7824754
929	485.5775071
930	485.2517719
931	485.0497762
932	484.7739719
933	484.5925554
934	484.3806609
935	484.2348597
936	483.5760422
937	483.3070053
938	483.2451775
939	482.8480348
940	482.681316
941	482.2168401
942	481.9987145
943	481.6405235
944	481.5690635
945	481.3962852
946	481.1829466
947	481.0506707
948	480.61928
949	480.2500161
950	480.206244
951	479.9675297
952	479.7259652
953	479.5021591
954	479.2964381
955	479.0775192
956	478.6643328
957	478.2301978
958	478.0345274
959	477.8072071
960	477.4938671
961	476.8591658
962	476.439631
963	476.3017942
964	476.0472516
965	475.8254016
966	475.7156137
967	475.3122501
968	475.2066546
969	475.032472
970	474.7812193
971	474.5951804
972	474.4937703
973	474.4128459
974	474.0249544
975	473.8195125
976	473.4811427
977	473.3947773
978	473.2149606
979	472.9090191
980	472.6872802
981	472.544957
982	472.4506302
983	472.2229182
984	471.8376096
985	471.6273751
986	471.3903389
987	471.2264531
988	471.0443825
989	470.6815256
990	470.3561489
991	470.1474228
992	469.5777979
993	469.1953925
994	469.0370996
995	468.6701943
996	468.6526662
997	468.4571179
998	468.1493291
999	467.8895591
